value,script,spent_by,addresses,script_type
9149897038,a9148c2ca47e7bbc6753de6a04573e4f0489f013a73b87,50e400f77cad7858d8f40d14abaa68751c28282f869472bce884b0ff8703973c,['3EUC1DfLuBw6Quk9uqud6MDkZwGL2x4DQF'],pay-to-script-hash
3221031060,a9141c3d1cb7c75aec554806574a359ae4378c54101587,70c8b376219263cc5049497b594e9d432361f7f0fddde81336c761075f85d796,['34GL44eQLCwsxXmfEDFZGeKWwxCF2KT5Sq'],pay-to-script-hash
1780446422,76a914de160299a627b01929fb2f42776cf70b1baca38e88ac,f4febc7ced0f1b34adb161a7c6b8418dc4f3b31628c8c33dbdc2772bbcc4a0b9,['1MFHNsyXR77nQipeGUdTPhYFRKhuN8Y53y'],pay-to-pubkey-hash
1726204720,76a9148d515b60874a0e5d4db18821a53d41367eb9c51388ac,f4febc7ced0f1b34adb161a7c6b8418dc4f3b31628c8c33dbdc2772bbcc4a0b9,['1DtDjpzhHcNtSxcQYzncdKMEHuP5MYB4zn'],pay-to-pubkey-hash
1694794054,76a9145cc40bcb2623b9b575d13a7fae55618952e9335f88ac,6a1ea21e24920f2e5672b061a5d0e1b1f38a5ee8d0e9a1443ee6b57badb5de07,['19TW2AkJFtFpc2tLxg5WKh8gXcpT5i3A8o'],pay-to-pubkey-hash
1092982456,76a914fbccbc707a540d666bfeb07ad1acb4af09b8c75788ac,a023d79db687fa8d689546141acff34b2cf653237aafd9f91ca89cfcc9ed2a22,['1PxPsTpfJmKH2FEybk1Ji5EntJBJQkvgFf'],pay-to-pubkey-hash
955408912,76a914378efbc18ae17c4eeec858d670499cd6f1d9a14288ac,6b0bc1b600785f7fe761aec60170a5a8b85a5dc90c1257f2b973953d5cf90c30,['164mTDMXW3ekdjAN9k5edsMMnhB4TSn8Xi'],pay-to-pubkey-hash
749255705,76a91414c1fefe371623192f8a4f238f1ea61f137b1b0388ac,c41d5abd92f97853711c396080d451ef10295c92186cb559a6393d7e91a13290,['12tkuvLakQryKKa7pwR1W1tdCXkcYFccWa'],pay-to-pubkey-hash
747879371,76a9146a2145b27872d9dc16d53dcabe746f280786846088ac,6edcdc62e68e40e4472fcb777770956aa063b676f41e34d9ec7a3e037916820a,['1AgAV8azifWomKeQcdUyRyVNpdbpWa2oWR'],pay-to-pubkey-hash
637121690,76a9145a2e42285b0cccd5b54e32742bef84065d2d98e688ac,7ba64560b23f91c99e4527210ed3ec7dbdb16108ed08e82e475b922a951d3dc2,['19DqEMgspPxdPqRzuHygepcPdStSdusK6m'],pay-to-pubkey-hash
586403992,76a9147c91361b1131f34b70bc98dda2b4e83b71c5ea1388ac,fc825d8302e2759b8361af4610e44a27c82fbe6de162bcea45687d1ed8fb1d58,['1CMekFQuZAvtU9wRhxCRYxwf1gcHdoXQMV'],pay-to-pubkey-hash
574451178,76a914793acfb188cb315f527dbbe2a8a789bc648a441288ac,bda610cd5458fe9422cb83cf1badfdbf3d08ac044824fa1167625469a6febc4d,['1C41DVZY4r1nyyXK6cdEpPxKi5ouuiry4n'],pay-to-pubkey-hash
528200432,76a9142bacebb8fdd86bcca6b9aa2f241d1e946457015088ac,3094b60242fc9d0a18eb91ab6780a1b7a7c7e017b2839460769336ca260d4133,['14ywCzmKfhXXTSnRFfsPzw1pdAahV7yhYR'],pay-to-pubkey-hash
485260937,a9147a9a23f723b38fe7c316fae0d947d313812793f687,3dff046df5ef3bb677b352ce8bd874abf0c9a1991de56fd1266b042058bf1d86,['3CsH1pHTMrw997V36tVf8jT4VKFQaeHCr5'],pay-to-script-hash
457567720,76a914a2309f737ec866fa695a3f3f173e8f7ceb2815f588ac,7491c8c2507ab95697186b7b2932785bfee1807f054bf7e8214ebf408debb940,['1FnaiTCqX8YKGHKaVNWSi8U55vp6RnFBF1'],pay-to-pubkey-hash
425467805,76a9146bebb0933b7626cdb249092cba0dbada20b8621f88ac,f4febc7ced0f1b34adb161a7c6b8418dc4f3b31628c8c33dbdc2772bbcc4a0b9,['1AqdeY7v6M28ARGz4V4r6a5TRbDb3sY8iS'],pay-to-pubkey-hash
401973682,76a914579fe56fa6d27d0b8a43b849bccb56e0c3e09f8d88ac,bfe641751cb3b9a03d65061d0967c3d2215645f47fd751e2020fc4312bbdf872,['18zKLUWwK7HTC92fPDSEoCqkKnsFfPBg1B'],pay-to-pubkey-hash
391799839,76a914b4e04da1594b52916259a975eb84b5c14a8a905d88ac,bfe641751cb3b9a03d65061d0967c3d2215645f47fd751e2020fc4312bbdf872,['1HVPLPjp4KbD3v27whwthbrCnttJYjbt8J'],pay-to-pubkey-hash
381426512,76a91483b7b7dec55e66b0006adaf3d9bb1218f097ef7188ac,ef8eaee03e01d027467318b6c8e02d219b49603c09c8db4728cd17e0fe92cc55,['1D1Tc6dce95mhDEQ4jdnRFce9cpzMhASGW'],pay-to-pubkey-hash
377827207,76a914c8d472a6f5fc49173f4f5071baca5d19b1855b5088ac,f4febc7ced0f1b34adb161a7c6b8418dc4f3b31628c8c33dbdc2772bbcc4a0b9,['1KJteW8MN5QJZyFW7H93Pez59ocF3DRbF7'],pay-to-pubkey-hash
371633954,76a91418c7686377fc7b07ea5d143815a4e321de0aeec088ac,68e8139d45213abb137fe1af6513c00e8e612aa8a90423a3d44b11e6ccb60941,['13G26hWrn6FYbc5cp2VtjUbxgjEr34yTar'],pay-to-pubkey-hash
370031847,76a914ba8308aa5ffe6df6afa4a64f24e0cead1aa9156588ac,f4febc7ced0f1b34adb161a7c6b8418dc4f3b31628c8c33dbdc2772bbcc4a0b9,['1J1Bf5B2j5EBDhgpVkzkaeUYjeWhPRBXPW'],pay-to-pubkey-hash
352512712,76a9149356cb8f16058d05a56ca78b99e29f32ec8b9fe388ac,0fa92b1cef82a5b1dad963ab6265649539a4c8de9e661f18335cc46fc427dbaa,['1ES4JqFigkBCD25h1z8YEuJokayKjfQALP'],pay-to-pubkey-hash
