value,script,spent_by,addresses,script_type
131854117,76a914bc6c1ef8da4a8e86ad063f98ff3d32cf478c1f0088ac,4c74b5f8852a7487616599912392ddd62af75437e9a7eb02228a1a8ad8c8d9d6,['1JBHZSdLWnd4xBF1uFawJKchZxBFYwPgXf'],pay-to-pubkey-hash
6782075,76a914efe7bbf21d8664015b96067245e017592ca426c588ac,7252d55ec41e48a4d3e3627efb9106077291749e60228aab566c95e1aadbc04a,['1NsW728FhCeCUSoZ6S3R9QRrbFHq3puKrJ'],pay-to-pubkey-hash
383658774,76a914a73c4536c1d69851b9293a3dec45c2206d5b35a188ac,637fea8521ffa1a797862291923d51093d068399225b75f6802ea83db66ecdbc,['1GFG3hGDYJ7JaqRNysWUUgHbvzcdvhBJyC'],pay-to-pubkey-hash
30763104,76a91475b0520c7caf01ffae38c73f716aaf614328347d88ac,ff1bb6fcb1a24ffae9d4c105bd497d9d76964bb147caf758ff138ab589ebb150,['1BjHHQdn1L5Fu7M2hhJPLkawtsBUj7u92b'],pay-to-pubkey-hash
15122237,76a9143dc4999235edf84b8f79a1fc552477d74b7f894e88ac,ce0900055f78cd202172647660ec5070bf638d8358119cb25cf998251057daca,['16dbjhgAYjWTsarAPTim7sCcGisuMGxzht'],pay-to-pubkey-hash
100478011,76a91432990b0bad755ff8db137848f99f94e5754ad17488ac,ad69f0a0445b6d068f27dc4e4a4b6ee1f1df25d9bc3a069683b81c510762faca,['15cY8DWvDwmLsPX8EGenHqtrFmeypqyJF1'],pay-to-pubkey-hash
3277266,76a914b295fb09ea44695b8fbbe694d11a1a792a25fdf288ac,ce0900055f78cd202172647660ec5070bf638d8358119cb25cf998251057daca,['1HHGwyxQ1pvqSKzFM1NPPBGWJh3isZ53FA'],pay-to-pubkey-hash
122747323,76a914b11fc3ee2e26d213d6b050bd2d199732254e311588ac,d74e8aad399fdb9a0174c9371450907a06d338c581bd7329c9b67ffe16d4c863,['1H9Yf3sDWbMfSYKG92ErsN3zhfJVz1eb6D'],pay-to-pubkey-hash
498845,76a914de160299a627b01929fb2f42776cf70b1baca38e88ac,ff1bb6fcb1a24ffae9d4c105bd497d9d76964bb147caf758ff138ab589ebb150,['1MFHNsyXR77nQipeGUdTPhYFRKhuN8Y53y'],pay-to-pubkey-hash
1193550,76a914f33ba713853f9ca5de373d7d9a0ec49733875ab388ac,ab18446e7b148b97ad397b7bcf40ae6e8512ce9cb27780e192568de77ff1858e,['1PB6fMUUCFYupNaz9s1tJANDoA9ontxnb1'],pay-to-pubkey-hash
128670466,76a914b04ef4657889ba220271fc690e7aa2db9f9e641388ac,ff1bb6fcb1a24ffae9d4c105bd497d9d76964bb147caf758ff138ab589ebb150,['1H5EWdV4JT3VAaq3kupwVJk7PKxEooi1rw'],pay-to-pubkey-hash
2367424,76a9148290ac46b9b81947d9ed5419f67f26e7fa6023a588ac,ff1bb6fcb1a24ffae9d4c105bd497d9d76964bb147caf758ff138ab589ebb150,['1CuN9zUqwzJUPGPQYbbLy8fQ8AJteeQUKb'],pay-to-pubkey-hash
113430874,76a914b991be49d88a72d0b314c8882058f82c6bd39bf588ac,e7dcff1e1d03db8e2c6c0082cf2b04b472b13dbde4a6b23fd955ada165dcf887,['1HvCbusjaZVeY2eaiNBAwkLcnCNfBT1Qsx'],pay-to-pubkey-hash
5683111,76a914f98535dd01b87950dee0916f4db2b6becef50bdd88ac,ce0900055f78cd202172647660ec5070bf638d8358119cb25cf998251057daca,['1PkLqPSSuKvrU29R9QzCCgPU663HFqZkYk'],pay-to-pubkey-hash
267884,76a91425df7e5ec15ffa00adf146578f66007481491d6b88ac,f33ac11c0a60152947719d470bcb640502b069f0546bc411d2ef85d5c831947a,['14TFji3PMapRtkHvhX1kReArLYgZNpVzac'],pay-to-pubkey-hash
1316845,76a91431bb63200d64fba8d844db945d8bb4f82f7dbdff88ac,35efebc832b7e91ded9dfbf424a0f3e42a54107ce96b0718137d36a143b96695,['15XxbHtQodsSi2HtMWrt2B4qbo3Lz8M5ah'],pay-to-pubkey-hash
5532912,76a9149851b6fb73d7b4270bb9762a3f21ee8c11c6dccd88ac,ff1bb6fcb1a24ffae9d4c105bd497d9d76964bb147caf758ff138ab589ebb150,['1EtPboR9eUEh5aWDSQ1SgyZTKKK46VeiV2'],pay-to-pubkey-hash
28711476,76a91484adb001134572ede7c09e949198980c89e6c21d88ac,250ee2afbc50dee36a6b58f64386d8014444af8faa12e8809a1cdc0332bbb431,['1D6YGLpta9pbG3LxQLiWDxP7gjyNeK87Qv'],pay-to-pubkey-hash
2667264,76a91448cf38d4bb0627c9b1296390a3fbf9996649923c88ac,ce0900055f78cd202172647660ec5070bf638d8358119cb25cf998251057daca,['17dytrDK7Ky4d8v548wcKK8hmBWp17gKyn'],pay-to-pubkey-hash
5303219,76a914ad641fd257e313fc2b7c820c6854b85f8f775b7188ac,d328bcaf51bc5a47deb6af931b6ecee2f97965d90c2710921f96111e84fea85d,['1GooqwpiTXwBFEYsqchVJYAGyxR6WpVNoX'],pay-to-pubkey-hash
4523780,76a914bd88b2a50156451d1b1431e810cc171886e9e44a88ac,b9603a7a6d2247a8c2f1566ec3dee9d624e753b271f9f250b53f414318ad41be,['1JHAUBtSuVcJiMqc6tqcRnQ3vimpNKWNUj'],pay-to-pubkey-hash
