value,script,spent_by,addresses,script_type
3378680000,76a9145b534b50d6cb9c1382c97dc56d3a27b4be88cab688ac,aa41330fa70ea60da4f75bf512bd5b08834ed66339bf035afa8e5d529c886fcf,['19KtGqg56oGuw5urKSsGNvNZZPtBwYgqpM'],pay-to-pubkey-hash
3053000000,76a914b4a9ae173b1f48ce7ec45f98d5854d7384b64e2d88ac,907b037c4b860d403886f26fd2e9b0a2e5da072ac714a2028746fc73f67ab296,['1HUFu77ps9YLaUYFN5UDs3nM49RECF6WYt'],pay-to-pubkey-hash
1927740000,76a914c51257cdb60f70013b894ebdd761e46452b9747b88ac,0b1cec89852e7aadf12f25c96f1c4ca89889645975891ad5bca2c7f81cbe8936,['1Jy26HSG3MyMgDNTDYteNDKPPceDr8jEGS'],pay-to-pubkey-hash
1889790000,76a9148b14813839b8b361bd5451dd3c7dbaa4f8b1a0d488ac,9bacbef12c3376c1bc9d8a7dbdfa7d5be664430e115db9089ee1d0f519aa4c66,['1DgPVMuTLKihWBMSazbzJZrzPFDA3YgJtH'],pay-to-pubkey-hash
1000690000,76a9147a43e32604ddf65050639b0dde636f1e756c55e888ac,1a47fb1fd4721bcba7c848c5758eb12a4b857ee69944a2fb8cfb702edd7783af,['1C9UmJ9AP1o5cwSk7ySVwQGgkcTGWLh1Kc'],pay-to-pubkey-hash
882820000,76a91452b35f109d65555e0f1cc316841b94913b6b111488ac,7d091380f7f61da68c64834074dd4b2a85f6a862785110f9a0f9c7b955079dbe,['18YHHfrBdYeUxpdJWiMYj3n87HeoireVXZ'],pay-to-pubkey-hash
678400000,76a914881b41a209cf66692b9991813ceba95e183493a888ac,60b6d123d97b97676c718539efadc369e94a32ae7f40436ce32fa5190212d382,['1DQfYtvuPBAyhwZBxKuWqfkM51PoqG8Mhg'],pay-to-pubkey-hash
574650000,76a914b99885b5effe6797f6b353fd2761738dde3b866888ac,fcebd7233567ce1b134b002610f92d7e351aea94a18e7cdf57866fef9f3cca17,['1HvLivcT57TtabLLi165DY1jp9feCjWK36'],pay-to-pubkey-hash
482550000,76a914fbe478b03246798b56f5f3a7e5dd8d4c8eba091188ac,649b184e1ffabe04094e6d743c5ca628fa7bfbea5a993914986e4e5dc60baad8,['1PxtJd9j6qNt91dWEwjhfoCRvrKjUJiKvr'],pay-to-pubkey-hash
480210000,76a914eef90280533bb6e8e7a9d533a4087a19ed8450bb88ac,746775ae3db26444cbedd5b4bdd43b7820c73964ed39d7ec15b97aa1170fa556,['1Nna8A9tn2tgVTz9feojPwZXvPTk5aFSk9'],pay-to-pubkey-hash
420210000,76a914214657fc5697088fb8274f8632610c2d91218c8c88ac,3e83930a82a0a2302b47a08b311e1118804ebcbf5c858c22e52318902b56c63b,['142wZtxzsBYtgj5h3tRvyqZMEaSC6qahGs'],pay-to-pubkey-hash
399420000,76a91463c8867aecc3a965fd528955c3af28540e53955488ac,bd37a82f7d1f04f7fdf9a91374a334438f9467b33bf01b7c8e49c8c2f591af7a,['1A6c7jawtWUCSNo9SjxFE3kBa754JWcicr'],pay-to-pubkey-hash
356070000,76a914e3daa426f8402b063a6dcfbb69735ea63454498a88ac,31feda9a99a2396e3cb98134f2926b8aa49e1effb6217b81e9fc8075043bd0a9,['1MmnK1DgSzaCjP81qK9nQTpdA2gBPvtpZK'],pay-to-pubkey-hash
335540000,76a914485a987c4067de59dde6cac492e3753008f3e0b088ac,303049134cba2d5ac29b4324f2ba0175ea1020eee85a99a2a7f532d6e8baae1f,['17baBWSeJ5F4pwVUFWtvuJd75DX42BNnKK'],pay-to-pubkey-hash
330520000,76a914ed944bd73e22e09e655c57751d986700d9d2a1ce88ac,0ca862464d20f8e3286e999c9b8729783e99be47588063d06e80b61bfeb63283,['1NfCoGYvubuL5kCY49uddAjiq2sCfScGrY'],pay-to-pubkey-hash
317470000,76a914de9c6a7e6cab58dd0a226195b42767f8be87478d88ac,80205906db41800b6202fecc51e11aa529f18ab8c40b97aa630531bb168824f6,['1MJ4PZUmCcHfpawNVc96mAB7STjS2gnX9L'],pay-to-pubkey-hash
314610000,76a91473b3768b6b633983369806dceba346c07760e9c188ac,27ebeecd787460f4ac0d69a894049d05890da1b949c08eda4573046bd6cfdf0e,['1BYmhNdFzJ1RfH2CcfDytVMqgtY6cArbTg'],pay-to-pubkey-hash
314300000,76a914a7dc60cad0c33d13d942fb72a1d060f94f1e8a7188ac,2d6aa0c7c2c6294e6b715fd99758144b44115a6e45c1e285c7a024b43587c8f9,['1GJZrB6ozLhaWJiWvYiiqTrDz6rSni8Raz'],pay-to-pubkey-hash
301220000,76a914cc825f646850d0ab5e1290b0b1c51ccb6e9b6c8f88ac,f16f8a5f10a0963a25da9cce5539ac3cf561829065cfe38587b4eee026a60b83,['1KeM2amht2VS9KoACkJvqPsGMj7Uscaphy'],pay-to-pubkey-hash
289920000,76a91401380f34969f9915cf9906a5fc60ccf97d4d9f2288ac,cdcc1173f7f50900af1b2267af1c684feff94a40c11c0b2309c088574d1ea48d,['17SqGV4cC5xCfnUjJBaH2ESB92ideDbmx'],pay-to-pubkey-hash
283200000,76a91415f5b455cb29a1af189838a36cdff936e409fe6f88ac,63d97207bb91820a702d1f202c652c29ebe7a6c0801aa10587b7951ec3a566b8,['1317XsZmbxUQ3X3irxVrDpHJp2Gcb5rZB5'],pay-to-pubkey-hash
241270000,76a9140403691006ff4ddaa04da9495ebd954314b7ca7a88ac,43e65135129d9c08d948a95b74090b5e935e70478814751b8f4faf12bdca82f8,['1NDnj7gVwERwHbKw2y2hi2g9Vc45RncRe'],pay-to-pubkey-hash
201550000,76a914f6074894b53760fcd37f62bc5986a75169fdc81a88ac,8a350a388f155e84bb23aae318a58a11b7161533b3a906c0124cad6747c12333,['1PRsxFy85E4Y9yERBQqZKi5zLraikHSkbk'],pay-to-pubkey-hash
190900000,76a91471d7ceab2756da90652943c5a47d2fd2ea59cffb88ac,3e6cdfdc733417c357ef4a5e9c5edf23b18470e457f4ba2b5f3f5cc0d352f9f8,['1BNwtEPanWJ9VLdiJebtykQJgk3eEZFh52'],pay-to-pubkey-hash
182390000,76a9142d98fbbdfe4420bf07d323fc20bb33c95234778688ac,b99dba70d7531f48958df427919628422544f30ec1fb9d80f12f1ccdff1078e0,['15A6g6ysNcuKW5c6Xa3A8QPv1DGDpJCQ1s'],pay-to-pubkey-hash
178180000,76a914b15e9eda63b02eececcb7e960bb01bf5dd7c425788ac,5c6ef06d14a5adf1130bb9b1abfe1a406c4834d0ec226d17d91476659afaa8e8,['1HAqxJaA9ZBwFUzLZKMyxwAv7rfj9uN9n5'],pay-to-pubkey-hash
170770000,76a914b6c9c1e1be85f9dfa8429227d875d99469299bb288ac,1c1d440b4a29a471cab85691077e2aeb56a375c9053b59e5b0b52fffea96aad2,['1HfVgG4Q1Zd7K1LSpv5w9eFxXFU69SB3ZJ'],pay-to-pubkey-hash
168570000,76a9145f4915407fb033c854a1aa5f07ac86a582237a9d88ac,969160270fdee2349816a4dda78c2ab5c01bbb9e8073247fbbc435924529b815,['19gpk81T1tY6MQtFMTa8R3wn1oW6WKozoC'],pay-to-pubkey-hash
165850000,76a914cf4a834a9b3753fe3e63224fc6db11d1f7fd5d7988ac,f077bb8df73413c1f3e3fe90013a5c13ac460f9fac035da98e7d3415f94f6ec7,['1Ku48xGorSiasrGRghWkXRaeaDFFw4SXvi'],pay-to-pubkey-hash
161600000,76a91478c9a66c2ef240452c323d9a4738e38b335ecdb088ac,9683ef6724d7b42f760d4e1161762bfd8642178f3e6e639ced7e2a255361b21a,['1C1feuyi7BnCC3E54etVrxPQ8LxytUmWE2'],pay-to-pubkey-hash
159260000,76a9141a18522adae6b65e8370971eb30c17a20a37d7ae88ac,ad61e7318b4eba1c068a83d8fed64e744e8d8b69eafae9bd46168b51bf5b6d70,['13NyhqbuZVyBwePdxYRFzY9Qu9w7gehfCh'],pay-to-pubkey-hash
154480000,76a914bd3dbc008a4d73e56ffd8ac7d41b8f35aa72b85988ac,8eab884c0be5a717c2d6f2936a173841cac81f778755997eb38a13b99586b02e,['1JFcfdtpkzWoNbhfzJJ2R23YLuKWgnvgvp'],pay-to-pubkey-hash
152640000,76a914793acfb188cb315f527dbbe2a8a789bc648a441288ac,0dd38d91246fc828aca018cd88550cd3d64dc820c1607c9e5643e1d97b259dd7,['1C41DVZY4r1nyyXK6cdEpPxKi5ouuiry4n'],pay-to-pubkey-hash
148100000,76a91469b84da29c17fe217356d21366b29f99cdf3664e88ac,399e03974edc26cbc0f9135240423d3f1b944e2f3eac79aa261880c01d5b2fb8,['1AdzjkvngwA5eeGVDE6Z7QNt6d69woWBqx'],pay-to-pubkey-hash
148070000,76a914c3ed8826abf07a45c929dbc913d7c83792567c5d88ac,7ba8b8e190e826c0d7b43910740bbe3df48e89a7bf534a1b48387055caa71a9c,['1JryKQhFFAFrBv1uBo4L9cYYrWDg6raMYF'],pay-to-pubkey-hash
144360000,76a91414dbec41c16a8e4f92d541ec362f6e45fdce6c6788ac,854642bba642494f455443187adc50a7589e2c231b572d84ae0ca7848246bd08,['12uHyM5DeV94EN3e2FY63xcSGKc7synjXU'],pay-to-pubkey-hash
142160000,76a914d9ce4b4394a08b102197cdcc7a386aba10f9531d88ac,93c8d3e3aa15f97585e0336fbb9195a0166ff83bb0ad1da14d69e4d868e57994,['1LremBmN6dS1f3gzyGzpWGUoiXUVxLeUGZ'],pay-to-pubkey-hash
141730000,76a91433bcf2108c8878007635183930e76826577c8fb188ac,8eab884c0be5a717c2d6f2936a173841cac81f778755997eb38a13b99586b02e,['15iZoxBNxJnxGjKj2Q8LAM1A3hsYmkscw8'],pay-to-pubkey-hash
140760000,76a9143ccbd5307f959e24abc4d4bd7e3421866614594088ac,384674da2607bbab4f1f06887124d9edd86e95c8ebce579cf6d4969b0982e13f,['16YTj4RgF8gYQXgRaD3GBT8etFu2o8uJ53'],pay-to-pubkey-hash
140680000,76a91435335b6c1df417f9d32d75aba4c18dd1dbf77dcf88ac,52de8fa84449d2a91fbd8785ceb418e0acbb0dbe3087730431ebe83620f717aa,['15rJLXHZ5PKvmM1kc2KZY2RMaBW6oH7Vgc'],pay-to-pubkey-hash
