value,script,spent_by,addresses,script_type
1240864,76a91455a2b1a668bf34d810bfc8253a8d9dde8a6578af88ac,6237221e129d588fe22234ca134d76e67d2ba89b5654419c4523c691b7f94a90,['18ooLUnfSMvrQToBzQULjJNMGguSfYzsM4'],pay-to-pubkey-hash
1085865,76a914f421d30dd5cf912fc6e182328cf6ef686b0fb17388ac,62062b525aa715b002409df99c5c928133728e81600a679cc43f4ff114ff10aa,['1PFrPyDRWsHTRBrqg5GevXftXq7TGHzh3L'],pay-to-pubkey-hash
642199,76a91485fbac98d85d0a6fce5bf1e79af0ac811c07becc88ac,6f519e9c5c0e19deaf82f59ccd38196ac034916dc77acf172e6797b84aa425ff,['1DDSN9MAbgsaXSPeRb9jb4tivido4uvJzg'],pay-to-pubkey-hash
1875845,76a9147b74a2612ed95e8091e72de09d99b179b072732788ac,6f519e9c5c0e19deaf82f59ccd38196ac034916dc77acf172e6797b84aa425ff,['1CFmqVJpfnq29nm33pDH1MZhfwvTFUCk2d'],pay-to-pubkey-hash
679964,76a91471f11493097a7171d8cec715121e07108556431a88ac,6f519e9c5c0e19deaf82f59ccd38196ac034916dc77acf172e6797b84aa425ff,['1BPUAEbsnWd5YJywjZ3zkSJKQdnUh5ob6G'],pay-to-pubkey-hash
5197037,76a9143cb3d984fdd65dffc612c651f78e4ccad2923e8188ac,c476356f7a3aba650da4eb01708aa70ebb0b4f1bde5b711e085ebf18cde5ea19,['16XxzgjWKAneKQX62h1g5gg12kSoYALXcZ'],pay-to-pubkey-hash
563510,76a9140e86073dcc8c79c1886ac089fa16ce3cc07db5e988ac,836939292f8ff297b51104ba6f05cbb754f19fa6913c513ee6a717a5bc3646e5,['12Ko28nbzeXRoiGdwp6JYe7Pnk2a9JTvGg'],pay-to-pubkey-hash
1478254,76a914bf416dfa13e4bcf61a926b3fa66ddcc81bcfaddd88ac,86c16bfddf3cb3406204e78a5c9cfa49b1a9ba9add59f93d34ce3b6e09234829,['1JSGSmXbyuDx2LoHiQ39sB5gBf8FPxCCkR'],pay-to-pubkey-hash
6756498,76a914ddab980ed889702fefd588c80b5289204b15cc9d88ac,6f519e9c5c0e19deaf82f59ccd38196ac034916dc77acf172e6797b84aa425ff,['1MD5txGzJL3Yo2jzoVuTTJA2CBgYFPyGUs'],pay-to-pubkey-hash
1657081,76a91411a935a89cca078d2b5e8da717049b672646ae3c88ac,538680cb507068cb7ea90e1d5177438bc58410525b035f443903fa132a24a8fa,['12cPC9jMHsr8yGwjF6XdUmho1vQmZxuiH4'],pay-to-pubkey-hash
1380127,76a914385b9614875e8b2486d55f60864e81b6bc91fe9a88ac,ea74a15cafbcb88de9c3639cb937e3ff036fe0f358f9cba196d35a14c8898b97,['168zZGUQ7QdFB3rh18H2VFrF2fWckYPeoE'],pay-to-pubkey-hash
1075025,76a9141e7084d980864418d2ee0f15e385b53bd5a7ed1588ac,603fcea4545382737bee93d2afdbde27918f8bc7823e5e59661c2289b3aa2a44,['13mx4i5LnAPzAF5LEnqvPd1WPgpGne9ZDS'],pay-to-pubkey-hash
1256836,76a9145b189ea49912ca48814d6c8d1555a4ac56d021e688ac,496d8feee516ac4ab55cf494c9b675d7693a171ec9ab5b445a307ddbc9be2878,['19Jfz4fmUvUVABuPNqbm6RAXnGLn7eUTqL'],pay-to-pubkey-hash
322123,76a9141cc7b4c60f9743489fc5fb49d6e56004ee8a8d0888ac,3e36e4bc092b4d862c591714c23f19d9db86277c1a51b30420dfb592a7353fbe,['13dBACTnPCc1ZzhqYTo5ka2HSDJx3F1R1p'],pay-to-pubkey-hash
2362596,76a914ef57fb7962526f7f24d88f5d669b351be2d9c79788ac,bde8a98f79d20862021766e635e2c2553855d8e55b8f2f0bf81e1e58e64dabb7,['1NpXty3dPPS4YPEfws3pSJAhhWHfd51MJ7'],pay-to-pubkey-hash
