value,script,spent_by,addresses,script_type
122813,76a9140e791f2e027051fed12a1715410bfc9e0edb262e88ac,b9461fa8a0ec322cac0fd35fae3ffc36fee2e888b34f81d1fc4f458ca8804abe,['12KXZNnJPDDF9Nx4Mt9oSpsFpkqWQnE4Nk'],pay-to-pubkey-hash
245848402,76a9141e916d837662166587528a1a970ffa10dcd26c9288ac,ad69f0a0445b6d068f27dc4e4a4b6ee1f1df25d9bc3a069683b81c510762faca,['13ndVFmrHFEMpjBJXCSGgaZzoVUxh4V23z'],pay-to-pubkey-hash
4031658,76a914376ab3800f631ab332b2fe14243895e38d1e5d7988ac,b49c56ad48c3bcfb1f92b644252d21af2ac7a6c7e26dc2136cc0574e40727879,['1641zH8dWcT7fHGEuHWk6JDaoyDEMJs5YZ'],pay-to-pubkey-hash
22411382,76a914378efbc18ae17c4eeec858d670499cd6f1d9a14288ac,6b0bc1b600785f7fe761aec60170a5a8b85a5dc90c1257f2b973953d5cf90c30,['164mTDMXW3ekdjAN9k5edsMMnhB4TSn8Xi'],pay-to-pubkey-hash
32699820,76a9144de83828e516677758333c85072e837a0326e6f388ac,ad69f0a0445b6d068f27dc4e4a4b6ee1f1df25d9bc3a069683b81c510762faca,['186wDf3VGGHrqnVa3HcCb2xX38t5qWy1WZ'],pay-to-pubkey-hash
2825499,76a91455765402f87e6f6ebc133ea35a7557a2a43dabcc88ac,b9461fa8a0ec322cac0fd35fae3ffc36fee2e888b34f81d1fc4f458ca8804abe,['18ntBtgJfJQo8oYx7ExygbPUQDGV5KuR81'],pay-to-pubkey-hash
80070331,76a914584adecc5ea481ce784c962d53224dcda7603c6888ac,2d10d0dd7db027bee240b2d6f50fa09c660d3d1b369d5b383851bffb487668c5,['193r9xkFMPWqjXtrhDobrDQGY2SD8o1QxY'],pay-to-pubkey-hash
12530490,76a91458762cbd0456d05248abb453a12bf758bee7df3588ac,d328bcaf51bc5a47deb6af931b6ecee2f97965d90c2710921f96111e84fea85d,['194k2opjDC9uycpTNdD2FaZpKv3p78BuF6'],pay-to-pubkey-hash
7659975,76a91462ba7d38c985b99a6d996cd8e84ce8af1c1ad9d388ac,88688728d51236f8fe587dbf6517726dc6036b4e79282e7022d289c95db325d6,['1A12dHy4Zczja4VoC3ZoynqfzivYXP4W3N'],pay-to-pubkey-hash
4433916,76a9146f0807117b1bce030627ad7ae510248edc77be8b88ac,dfd76b06dad1a0433a50d83faa215fe8cf91266c015ae936a044151a2266fe1a,['1B85d4ZKXS3xb8Qq7Ehn6cdutbVhs9soCH'],pay-to-pubkey-hash
138495926,76a91480275f672d368c0a2f73cd396e3914ae0c1e251c88ac,b7af3e465b1778e72427194e7103e8df7d42b6440479e657bef581d75c6d55a0,['1CgcfDV3UfvTdW8AEGiJbstFAfeXTQET7Q'],pay-to-pubkey-hash
14026396,76a91480c8e5d17eb0a2a8567b4ac47daad877057250c188ac,d328bcaf51bc5a47deb6af931b6ecee2f97965d90c2710921f96111e84fea85d,['1CjxAB3SPAheVyazEYX3R763sBc5G3qjMs'],pay-to-pubkey-hash
6524207,76a914813f96c1fa810bdf1a2df75b8ba863fdcf1548df88ac,b9461fa8a0ec322cac0fd35fae3ffc36fee2e888b34f81d1fc4f458ca8804abe,['1CnQLyrJ5Zx6ShLRcpqKUaDFqbw1JSjQUa'],pay-to-pubkey-hash
156143,76a91482c45be7703d9cd4ee41b0be12f75574a5a1362388ac,11baa89f0a8c9e10ba1080c0695730923188e9d1d1a48ba87130fd39cfd563df,['1CvS5CdPZDP67U64bu9iWTwPrnRNUesbvX'],pay-to-pubkey-hash
33303811,76a914842ab75463c1fa632c72c3e4ab24650b41f2566f88ac,f432033e1577b790c09a867c3f9efc0f2448d64d2bf1c8602739b76d946ba3b7,['1D3qNHr783x6aRKx1R7zyGR4HbsQvjjuXc'],pay-to-pubkey-hash
9839780,76a91406dcd4afb87a637fefb18f819e8fe5d02acd994488ac,5a3b74f5b8c5c6933fb0e863504063cc02d97bb5391b2d8bcb6f0ac12394db0a,['1dHbkB9H2g3MJuoN26jYVguN1c6WpVk28'],pay-to-pubkey-hash
2684549,76a91495bd2e92bbc7696c993d1a64ce76677dc4f7ac2e88ac,0da9a5f06771599b4d6d8df6efd42bcc1e6806be410b02d8d0dc09fe10c9201e,['1EekKB4Q9Q9YjKygUkHxCVTRirQAd5ubHq'],pay-to-pubkey-hash
131512133,76a914916d3db1db5a9cb4dd04deeb0cc6d5a06d93d91a88ac,e425bee1ed9eba8bff9356fae29483159cad1adbd11ba2655361942a3e12b94a,['1EFwr1k7sDcgiRabhsbz4jY9M2rh6TTiKb'],pay-to-pubkey-hash
152808536,76a9149c4d717a56b0d7f249b39f17c14cc861fe69aef788ac,cf2b1dc08d2d0b547d05508154c04d81ec1824cf8499d0d6f4e531414babdd1a,['1FFTBn9praFz3nag8AtidVqVZZcFL2CY7n'],pay-to-pubkey-hash
