value,script,spent_by,addresses,script_type
22880194,76a9144bc21e293bdf42b3dd89b3d9fd69cc9e54cbeed288ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['17uaDvvJJUqCMptjNnMhofzBaMqC3W7ckA'],pay-to-pubkey-hash
4229879,76a9144d1437c1ce3998db80c0c15156f84744cfe20eba88ac,5a02c0b03ad2732a5ade4d06ba25c59b9370dc2e5b08a846baa7e0af465e7730,['182ZFXeUg7JbQYYUnE3yn72xL4ASg6MnTq'],pay-to-pubkey-hash
6863686,76a91416506fbf7f3c1301e3c2c7ac7222fd925988256788ac,4507220a23344e3e35236bb30ad1b5e50aed2004db2cc9df3006b0b5a6e7cdcd,['132zE3kL7g4xy1KvbAYTKAT5XVCnkf5jep'],pay-to-pubkey-hash
4001398,76a91484d2b1a5bf715964af22d80ca42a57706bf699c088ac,c71d18cc3c5132610e1549bbf63c58294add7b56c77387856042b50b60fe79f6,['1D7JbbPUZ41id4P2C7R3UicYGN3jzCZJ2r'],pay-to-pubkey-hash
4343124,76a91425a3eb09f4d082ba10c5c0bc886c4b1fe806cf3b88ac,7e145fcaf6ee3716cc95de37d619137b336362513d7adcd117048ac95f64ed37,['14S2NL3nyj7cZoAdrncmWYfAyaNvRfrzPS'],pay-to-pubkey-hash
5634539,76a914fd4ca4cf5c7993df4aa1e97969bee88a86c1965c88ac,ec9082885bc2c91e79a183f114a710331d78ef4b7fa2d280687724e9c7fc15df,['1Q6KmqYQD9smcCKjCVQ1vmzmXoS6ZtRNyF'],pay-to-pubkey-hash
22302813,76a9149f39d119877ef3af3026f9920dedde35e6da4e2288ac,f1f959e5450008b11f187c2640eabc65e0af23cb6093227ea3e3b41f502af08c,['1FWuhgaiAmqHZB5F1iAH6Zk13YKoWxDiNK'],pay-to-pubkey-hash
10219627,76a9148cb08791602517790ac6db19b5640a50ec3683ed88ac,7252d55ec41e48a4d3e3627efb9106077291749e60228aab566c95e1aadbc04a,['1Dpu5M2STZBtGxHHZ62YkPGqmdKDMXrnA2'],pay-to-pubkey-hash
4103207,76a91449232e681cac849472adaadffbf0df9933f283d888ac,906b98d4ed7ebe31af43bd68a5f775052b0f4c21ac0c4c2029b11a12026b30c5,['17fiUScLfWKWydBtjHeyYBpRJDw3jNgyo2'],pay-to-pubkey-hash
11946541,76a914d0a557b02a5af37ffd38071febad56907a84dd3788ac,ae1e622f14aecb1c1ae97b9b05afb8e6ab8fd4f5c88f912304ab499bacb560b4,['1L2Dd6sa8B9b6K6gcGs6k53o5Z5XddUHGb'],pay-to-pubkey-hash
