value,script,spent_by,addresses,script_type
3043720000,76a914b4a9ae173b1f48ce7ec45f98d5854d7384b64e2d88ac,907b037c4b860d403886f26fd2e9b0a2e5da072ac714a2028746fc73f67ab296,['1HUFu77ps9YLaUYFN5UDs3nM49RECF6WYt'],pay-to-pubkey-hash
2965430000,76a9145b534b50d6cb9c1382c97dc56d3a27b4be88cab688ac,aa41330fa70ea60da4f75bf512bd5b08834ed66339bf035afa8e5d529c886fcf,['19KtGqg56oGuw5urKSsGNvNZZPtBwYgqpM'],pay-to-pubkey-hash
2063450000,76a914c51257cdb60f70013b894ebdd761e46452b9747b88ac,0b1cec89852e7aadf12f25c96f1c4ca89889645975891ad5bca2c7f81cbe8936,['1Jy26HSG3MyMgDNTDYteNDKPPceDr8jEGS'],pay-to-pubkey-hash
1928080000,76a9148b14813839b8b361bd5451dd3c7dbaa4f8b1a0d488ac,2c78f93783dc48a33ddfa655fdcf43b5843656ca4c665d9c1cf95b907a8dc399,['1DgPVMuTLKihWBMSazbzJZrzPFDA3YgJtH'],pay-to-pubkey-hash
887820000,76a91452b35f109d65555e0f1cc316841b94913b6b111488ac,7d091380f7f61da68c64834074dd4b2a85f6a862785110f9a0f9c7b955079dbe,['18YHHfrBdYeUxpdJWiMYj3n87HeoireVXZ'],pay-to-pubkey-hash
576610000,76a914881b41a209cf66692b9991813ceba95e183493a888ac,60b6d123d97b97676c718539efadc369e94a32ae7f40436ce32fa5190212d382,['1DQfYtvuPBAyhwZBxKuWqfkM51PoqG8Mhg'],pay-to-pubkey-hash
560020000,76a914b99885b5effe6797f6b353fd2761738dde3b866888ac,25f5bb14a34f08f2a4abe54ec220c0e03677c34b6f8d978513c3534e68998515,['1HvLivcT57TtabLLi165DY1jp9feCjWK36'],pay-to-pubkey-hash
483320000,76a914fbe478b03246798b56f5f3a7e5dd8d4c8eba091188ac,fddd31373295ab93ae4fc93af68f4e8c35bed32ded3a5e3daf41e5e1e4bd46db,['1PxtJd9j6qNt91dWEwjhfoCRvrKjUJiKvr'],pay-to-pubkey-hash
474330000,76a914eef90280533bb6e8e7a9d533a4087a19ed8450bb88ac,c0140629e496426c8a6b40ed5c33d3411d4fdb4338003f54f031d91f9ceaa850,['1Nna8A9tn2tgVTz9feojPwZXvPTk5aFSk9'],pay-to-pubkey-hash
444310000,76a914e3daa426f8402b063a6dcfbb69735ea63454498a88ac,31feda9a99a2396e3cb98134f2926b8aa49e1effb6217b81e9fc8075043bd0a9,['1MmnK1DgSzaCjP81qK9nQTpdA2gBPvtpZK'],pay-to-pubkey-hash
427610000,76a914214657fc5697088fb8274f8632610c2d91218c8c88ac,ac29633c49c2abe65584d5ee9d72fb821fddd68e18146d9b88377b4f01093efe,['142wZtxzsBYtgj5h3tRvyqZMEaSC6qahGs'],pay-to-pubkey-hash
340940000,76a91463c8867aecc3a965fd528955c3af28540e53955488ac,bd37a82f7d1f04f7fdf9a91374a334438f9467b33bf01b7c8e49c8c2f591af7a,['1A6c7jawtWUCSNo9SjxFE3kBa754JWcicr'],pay-to-pubkey-hash
330480000,76a914ed944bd73e22e09e655c57751d986700d9d2a1ce88ac,0ca862464d20f8e3286e999c9b8729783e99be47588063d06e80b61bfeb63283,['1NfCoGYvubuL5kCY49uddAjiq2sCfScGrY'],pay-to-pubkey-hash
322960000,76a914de9c6a7e6cab58dd0a226195b42767f8be87478d88ac,0af456046ad59d53406ff8e6419c5bbd4438a755188ba2a761205cff0d6fbdf5,['1MJ4PZUmCcHfpawNVc96mAB7STjS2gnX9L'],pay-to-pubkey-hash
318670000,76a914485a987c4067de59dde6cac492e3753008f3e0b088ac,a9d148ffe9cb89bdda1feb147a264a463aee3b72a2cbf2acb0ec40cd1cd30660,['17baBWSeJ5F4pwVUFWtvuJd75DX42BNnKK'],pay-to-pubkey-hash
313380000,76a91473b3768b6b633983369806dceba346c07760e9c188ac,b7836b355c8b2089cf2add8d73e87f0e0d2bb773cb590ba9521c71df13bac181,['1BYmhNdFzJ1RfH2CcfDytVMqgtY6cArbTg'],pay-to-pubkey-hash
312080000,76a914a7dc60cad0c33d13d942fb72a1d060f94f1e8a7188ac,2d6aa0c7c2c6294e6b715fd99758144b44115a6e45c1e285c7a024b43587c8f9,['1GJZrB6ozLhaWJiWvYiiqTrDz6rSni8Raz'],pay-to-pubkey-hash
289550000,76a91401380f34969f9915cf9906a5fc60ccf97d4d9f2288ac,cdcc1173f7f50900af1b2267af1c684feff94a40c11c0b2309c088574d1ea48d,['17SqGV4cC5xCfnUjJBaH2ESB92ideDbmx'],pay-to-pubkey-hash
277250000,76a91415f5b455cb29a1af189838a36cdff936e409fe6f88ac,b527c8ab350e2a2bc7941a2b97f76e3bfdf81e0bbc4953d4e57dde3c72947016,['1317XsZmbxUQ3X3irxVrDpHJp2Gcb5rZB5'],pay-to-pubkey-hash
240130000,76a9140403691006ff4ddaa04da9495ebd954314b7ca7a88ac,43e65135129d9c08d948a95b74090b5e935e70478814751b8f4faf12bdca82f8,['1NDnj7gVwERwHbKw2y2hi2g9Vc45RncRe'],pay-to-pubkey-hash
231920000,76a914cc825f646850d0ab5e1290b0b1c51ccb6e9b6c8f88ac,9bc1bbf2dc8a756f7c014e8523e8896ff66b32bf1ab8bcd9d1104aee9d312a00,['1KeM2amht2VS9KoACkJvqPsGMj7Uscaphy'],pay-to-pubkey-hash
220030000,76a91414dbec41c16a8e4f92d541ec362f6e45fdce6c6788ac,7ef85a8d8017f617777779541900c94dfaa14879770dca460f9a6d879ee53330,['12uHyM5DeV94EN3e2FY63xcSGKc7synjXU'],pay-to-pubkey-hash
201300000,76a914f6074894b53760fcd37f62bc5986a75169fdc81a88ac,8a350a388f155e84bb23aae318a58a11b7161533b3a906c0124cad6747c12333,['1PRsxFy85E4Y9yERBQqZKi5zLraikHSkbk'],pay-to-pubkey-hash
182980000,76a9142d98fbbdfe4420bf07d323fc20bb33c95234778688ac,b99dba70d7531f48958df427919628422544f30ec1fb9d80f12f1ccdff1078e0,['15A6g6ysNcuKW5c6Xa3A8QPv1DGDpJCQ1s'],pay-to-pubkey-hash
176930000,76a914cb005ff4e1918ca48cb1f69a922281d051bc4f8f88ac,6c46994ff12a28660b4103dfe8738cce4b96871fe229ccb04491a154d85ff335,['1KWNcz9MswHYFeAVA27aW315RAPJo7DLLT'],pay-to-pubkey-hash
162680000,76a914cf4a834a9b3753fe3e63224fc6db11d1f7fd5d7988ac,98fb2b2ce519fb765cb2be3f9286ac5cfef916897794846641f90bab1e744c1e,['1Ku48xGorSiasrGRghWkXRaeaDFFw4SXvi'],pay-to-pubkey-hash
156940000,76a9141a18522adae6b65e8370971eb30c17a20a37d7ae88ac,86720f460dcfe11296cb1abd141a73f8a057f77394afe083ea7831422641bd91,['13NyhqbuZVyBwePdxYRFzY9Qu9w7gehfCh'],pay-to-pubkey-hash
154330000,76a91478c9a66c2ef240452c323d9a4738e38b335ecdb088ac,41df6a34e0ff6bff42f04e67976a1b0973cfc8a92818f28bb3a73d7fc3faf44b,['1C1feuyi7BnCC3E54etVrxPQ8LxytUmWE2'],pay-to-pubkey-hash
154150000,76a914793acfb188cb315f527dbbe2a8a789bc648a441288ac,0dd38d91246fc828aca018cd88550cd3d64dc820c1607c9e5643e1d97b259dd7,['1C41DVZY4r1nyyXK6cdEpPxKi5ouuiry4n'],pay-to-pubkey-hash
151700000,76a914c3ed8826abf07a45c929dbc913d7c83792567c5d88ac,7ba8b8e190e826c0d7b43910740bbe3df48e89a7bf534a1b48387055caa71a9c,['1JryKQhFFAFrBv1uBo4L9cYYrWDg6raMYF'],pay-to-pubkey-hash
151490000,76a914bd3dbc008a4d73e56ffd8ac7d41b8f35aa72b85988ac,86b5e480fc83973cd9116435516ba2a68c6cc3752124ee78c7003030e6b376fc,['1JFcfdtpkzWoNbhfzJJ2R23YLuKWgnvgvp'],pay-to-pubkey-hash
