value,script,spent_by,addresses,script_type
1000000,76a914fa22800575708af61fc3e19a69c589f3f0f90eaf88ac,a1207583ffb9307e8a6fbba612e3c5bf481073699c7aec5186b331ee81fe2896,['1PobG4o4WCcBhCt4vZocg5RxeNmiR4Ujfa'],pay-to-pubkey-hash
1000000,76a9146ce8fdadd207fd25c57dc55b76bfa458efec801a88ac,b45fb305d14533ac80cf236f66d77bab1a033f3bcc2f5608f1261dfedda1465d,['1Avs6DGf8zudoYZAbmYcr9hNnn9XQvm3nC'],pay-to-pubkey-hash
1000000,76a914571ddb0739a2bd5a3352d79882e9ea28ae63dcdf88ac,c4a2fdc06fdeee5ae194f4a04192dd9d956c0e291dd8c858fa985c6b5c9c5548,['18wdZ6HwPqbE9qy5FNXfPRGK2ZN2vQj83w'],pay-to-pubkey-hash
1000000,76a914c7b6beb3c16881cf88930ac2c12895f0e5318a1288ac,73b486fe8c42a2e220ce438fe487acf9320ba3d3ecb1b6d478e2cd7753e543c1,['1KCzPWrAJEcWanJqq4v7Y12JypLXASz8EJ'],pay-to-pubkey-hash
1000000,76a9145a3903e91e057bddb2e104fcb00af9047a3148ce88ac,436a73772acc5fe3a3c22d508ec92054848d855bf46ddd4493aa3548eaa8c5af,['19E47kpgNJ3nGm2zLReEEGb6KiUrvRLxxv'],pay-to-pubkey-hash
1000000,76a9144be372a6fb42e92759bb05ab5183bd38bf918ab088ac,3051089c4239a543ac5907ba4d32ddaec39a677e897a6ae5eabdce539750d5c3,['17vG9k1zsixARYYVzLJuVR6yEsCk4XC3jx'],pay-to-pubkey-hash
1000000,76a914d4978e43aaac3b6cb139822dcb0fecb5a4aa390588ac,ca2a05ffef44b2a0af5e4b3e676c3e7e1b7e018844f70394d2bb08afa9beaa9d,['1LP5owku2NXnNsKTR2q1Eq7RZVYZJWVHh6'],pay-to-pubkey-hash
5000000,76a914292deda6b701b9970dd88135152ee2b3487dbb3888ac,1807326ae85a9527cc1621761dcb398b66ce424c5c4f379e4d4a402264249e9a,['14kjj2DiTjKqwo2Xu3TMz3uCUE6AFiyf7N'],pay-to-pubkey-hash
1000000,76a914d0586577eef1b026ca248021971cce086925694388ac,25495907de78dbcd96edd49de14223664f40a9c91be1654d551db07660094ca9,['1KzdSngS7CNPFz15pUBSK1P1Eo1R8qjTPm'],pay-to-pubkey-hash
1000000,76a9146f0aa8d3868936cf32b303b6d4049212b21f1b2988ac,393b5c8a0e447569ed743060f5edaf30070f8ed5936ed8cc5272afaf31092ff9,['1B88mvkJfUjwHVShHZDYVhTnUVdZCTgLKR'],pay-to-pubkey-hash
