value,script,spent_by,addresses,script_type
25000000,76a914a9ee865b8ee0549b46b61bbe203c01b5f4eb87f188ac,5a4f693e4a4c83936f60e026d1f311dda04a810b513097954658d9fe0a02b15f,['1GVWwR6Ni8joaLzTn7AWPBgLhXuHJph2vH'],pay-to-pubkey-hash
16550000,76a91472d3b0f8ed9662f841f113333bbb807a7002817288ac,7c231cbf3d99804007978dfc1d2fd3f44cba2e0f839dd552774cf0f924781f33,['1BU9dSQDPwgS7X8BoA2bzcudJJUy3SvwhA'],pay-to-pubkey-hash
1016864462,76a914f22c1fb5da4c5141330e883a278bf86ee0f108fc88ac,c5b2258165af093847e2482f869d4b793af576bd74bd6eb40241400bf553757d,['1P5VPCnE1ZjdVSDZsBPtsWW5c1XKzYPwus'],pay-to-pubkey-hash
100000000,76a914117eab4dedeb542561cf81dadb215794cc9b481988ac,7c5f433d84fc409294edfed26b258815e26745635d88189a2d9504e54aa0a802,['12bWEPXurvZ2yFfrfWFKbFJfUnqX68GEkx'],pay-to-pubkey-hash
1001868,76a91449ae06213891c3bfefc63a75851ddba03cd02c8c88ac,bcd4382da0acf4ed0764b9deecd0f3906d96d57f7f6f1fc3a1444e265f80526b,['17iaoQA6Q3AkPWrsCXAsbBj2NuB3g82cJF'],pay-to-pubkey-hash
19998542,76a91481cda1f166872aab4cc4ddd79f4cf92110c3b33688ac,a3253374b56844d3528a1a5cdf8f705c5d746acab3c993d5aefac8f3ff4e7428,['1CqLWMEpoV8QtyKmqMutPdJAhXE9xvnEa4'],pay-to-pubkey-hash
500000000,76a9142bcc4f4333f154e171ad3f7494ce7924d2b22ccb88ac,c1b9c35e39c64d70e312915b496072fe6c0835b697435e1d77f22ba8176faf7e,['14zaovwEmvBHyR9vLH4ZWuyo4vUcT5cUcr'],pay-to-pubkey-hash
103208000,76a914ef929e4fb564ab744de6c6919c54711a4f82b94088ac,e84f2f4effd6b37122cf2c2682fe2ce1198b151e878cd0487d02408071ffe699,['1Nqk95Dkq3aYkmbRuEteBepF9rJDDTL7FB'],pay-to-pubkey-hash
255568000,76a9141a164db09721b42bd7f28b4a80288fbf8b6ad48888ac,6bf38ddb79bf2b99b8ce7d84e6357a09a87c07a6f5c7d18755ad8cfb5bf2de81,['13NwHfJ79a3WbdYfAkJ4zp4r2zyigwL5eD'],pay-to-pubkey-hash
34243120,76a914e82676ad8353ab00f85f3b03a0f16dfff0dc521c88ac,25ee0fb56fb6dacf27914b54149f1ba2a44c957fb92209a1a281d69ba2b44881,['1NAVr15iYeqCVU9Qux8HtDynjYvXv6F6Tf'],pay-to-pubkey-hash
700000000,76a914d9cef27fc7856c6122574c2bace9f3bc9b98191d88ac,c01680721f1ebffe310c808f6060f795cec9cc9ed035e7d5471bf387e2e9a294,['1LrfYaMWdVXVHs4TGdSfnU6LCmyhPZSigA'],pay-to-pubkey-hash
113500000,76a91455831f1f3516b63da6f0fe75285615bff937a07888ac,1bac96a55201013096940b55d2f002565f4a9c1365e996015fde6909043e8a36,['18o9WnwEH2zq5YzfEB4YixibMvo5VNpe11'],pay-to-pubkey-hash
30812949,76a914155ba5a9b8e6e246ce0f021975431165db52457088ac,1c4197868fd86b57937fc30f617add6c5741e8cfc5b824a5641ae7ba35cd6ec5,['12wvynMnVoTu3sHD4FAjvjX86V6kX14MXy'],pay-to-pubkey-hash
98000000,76a914e8fbaadd1b235c3882fba9b60c49b669fdf9806c88ac,c9fd082ac7492eb0e5926d8e592847ec639d61531f1616e1f874a1e72877cd35,['1NEuFfZ13pNGXMNsnPXkqixQcq4iWfUKdh'],pay-to-pubkey-hash
353356890,76a914a9e8c7164b74010bcf826cfdd0a98855390fcc6e88ac,b1da83fdb480276acc62ff85999f5fa7d8a0850780db4ea9ec3deda404da675b,['1GVQ46bAv24Cu1UpxLQMtP8Qk2ntfgnhLT'],pay-to-pubkey-hash
6830000,76a914b5ab6766cb7149164bbad66cf38e074944fbd80f88ac,72f062ea97c9355a6910135e4fb701b20f3b0866f0a905567a8787dc3782717a,['1HZae5HepwUM5VJSZcGEicbknec1rCVo6U'],pay-to-pubkey-hash
342431,76a91464047b75f77f592a266bada86f692d2191fe48cc88ac,61e448df47180240ac52e6db3f218c0f90137e69daff66193fb224f5a024ee2f,['1A7qwcm2h9dQnGRUUEXSX8aVMxHsRxS7KA'],pay-to-pubkey-hash
1467597,76a9141de134bd1b13c62a6aedd274183ee1d00882b23f88ac,86fab4afa8add21f3a818f29cec01aa26ce278dcd7c49e6e9ee0e561480bba16,['13izP9m1fPujL6ohwnXSWZYZdgiywfaAxX'],pay-to-pubkey-hash
38500000,76a914b46809b27829cf15793de5d1139b8e9551d93db488ac,bc7f4bb046de776e33ee77b7e89d32f69c9825ea50d9b8f535af31708ae2e13b,['1HSuGD4wj3vDyhFHmGWs1xXshFVYhW4FTp'],pay-to-pubkey-hash
1554869844,76a9145c833a84d7bb4498b628c9b6589399f8def61b0a88ac,ec7e32b14b6eee47ace0cd9dfd172f3746f67c6aceb773bf7b77008456ceb1df,['19SANa6ewPqDgqQBuC5y8F4TDXa8cdPAUW'],pay-to-pubkey-hash
400000000,76a9149e047d2a1611d82d68a58544e4c95b978872ed1a88ac,a302444ac96e83a72fb389d6f039fbc917b8faabaf3e4891f2d02727dd5ede38,['1FQX9CtsV5jgoLhts73M74o31s8iTDMnMq'],pay-to-pubkey-hash
