prev_hash,output_index,script,output_value,sequence,addresses,script_type,age
b7d9f72d478cf3e9015fa2dd08676e65605730b662834ac740360a22b13b7e0c,43,4730440220674a778ab5671176ee9fd0a7235862f7a3a2f733fff80f6cb4c58152715b8def022040d621529aeca619a51ccfcefcf43078c2bd7d1027be3ac5935175dd5ccd57e1012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,144338,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,305534
de4cd77a2a860e8f7b44b31215647f9898d49cf4f76616369a05725a3151bf0c,11,473044022047a06698c7103fd9b23c4fdfdf5f19c84b6acd13e91f3731c94f1940465c45a5022037fab0aa6633f616f945f383f7a3e2852a6b098e3000e6d95cb1ce698fb2c884012102b0862151a709b8dafc9f2d4d5553298a20088f7589a54c38689e0a7f4f8f8004,400000,4294967294,['1Kz8iHfQkcjpUCfkSba7VFqhLWiDF6Qtha'],pay-to-pubkey-hash,538660
7ded134b51d3a6875dadfc81261146145a2e2342b029e86dd129ab55b038e60e,52,47304402204434b85295d9fa5a6dc1dfac6ddc2d75a607b3492d2d25854484b97b0ef5bb820220149610b0531e251d4a8b86e580fd4855bd0f5f09f6b59057559985cab19a7859012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,496541,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,301999
0a3ed0324068d0287dd6f6599bfb4640803e8cfc4ae08501521a2931cd87ff18,0,47304402202d3cf5d649276d7ea2c576498c71af5b4b61bf1f0cf7240ee114edf71695191902205e874b59fa0e9c937579f4b01d011abe0e4d601c223e2858ca74f545ae9cdb0f012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,370164,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,304879
937f54b9a00eec74c5e57a389c446b0141f41ff84916ca88ca11925b35728219,12,4830450221008f90522fa605c7cbc460a7dedc00ca8c90d4681804e356103b058afdcd39bf5502204276e9b2a705dba940c95ae29bbc93ff63c724c79aab0672c9d6338775808676012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,1201240,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,282982
66ff61e9a34b1ee54de62c8f816189446178354bb6f8a81dcf439b34e02e791c,33,483045022100a60e07b2d91dc3eaaf8ebeb5e392af40a8451e675b8ff551f7b666da838e5dd002201d66e40e82cb11ca1c5301bae4582925db1c5022df1fe23dd5965a93e9a8d756012102b0862151a709b8dafc9f2d4d5553298a20088f7589a54c38689e0a7f4f8f8004,200000,4294967294,['1Kz8iHfQkcjpUCfkSba7VFqhLWiDF6Qtha'],pay-to-pubkey-hash,541784
9c1641251dfec15e5a2c20dee7e4ca381c079bed213fd3ee20eed1f7aecce226,8,47304402202cb2924972b70be31071a0379bf145e481eab17a7f0b51bdbc4c2eb06c90ec66022008c8fd10c0c1d9fd768f1467e42897d0ec86858728e88785a99d43d6b11f550b012102b0862151a709b8dafc9f2d4d5553298a20088f7589a54c38689e0a7f4f8f8004,200000,4294967294,['1Kz8iHfQkcjpUCfkSba7VFqhLWiDF6Qtha'],pay-to-pubkey-hash,537746
278d0a511c0528dfb77cb8724442663b2f57d53785743dffd32aace7c8cb7527,14,47304402203544ee9c526a69df743dfd28fb9b7906d173288699f73abaf84561fe61ab855c02207c1e3ab98712072019dbd94c7a91e7d592825908c888cac18dd77c37522b0546012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,217260,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,282500
92d71d4222bfd7989d926179795050419e034e4c3646048d0375b1dc2bb4922a,73,483045022100e2ce2a604f232cf814bf868c449b619128a95b6a83f99fa584849d87b397ba78022015e1314d42fa962b724b10556237c6c8f88ac28d6482357140a958d15327759f012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,591464,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,299275
ff4b55a6204fa72375d2775a54eebae5409b4f7a4efea08e12abf5ecf638532d,83,483045022100a84c75f903f19111e7cde8c87a993c1508a70e473ec0eb878ccb41a87557a1f502207dca0bad2a0cff42fcecc3c103fb2b9c86e88e1b6056b44d6d490cee48ae040e012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,597288,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,300476
0bbc5ef756b1f5e6c35ca0d9c035a7a4014a0cd8e5a6d916a4aa4806c47d7c3b,87,483045022100a4249b1081582a12afb0335fea2473ee7f6903eeefa720c0fcb5dc4a7ede3a2d022072445a7c2e36c66a526b1706d3ba1195e1130fa0f8a32659b9886c372e444af0012102027a67d2689f77d62e23a93df8579461d93631168d63ade4da69ffc48d307088,249441,4294967294,['1NYeyZ34kdxLESNQwJeVZSBaqN9a9hjB8h'],pay-to-pubkey-hash,302322
98f33b35599b0c9a6813446c260dca8d55f34580d0e988c907ef95a0b304103c,188,483045022100f1c1fa8a8fc18300181803177a0c9b75d2640ddbfee36c113e495baf6f0098b902203d33404d118068cc277086dd6d0ed21f3051c9cc676911d1833915c7dba17504012102b0862151a709b8dafc9f2d4d5553298a20088f7589a54c38689e0a7f4f8f8004,200000,4294967294,['1Kz8iHfQkcjpUCfkSba7VFqhLWiDF6Qtha'],pay-to-pubkey-hash,547117
