value,script,spent_by,addresses,script_type
6070444,76a91463151244d13facf5cef3a3309a208427c5d5fb5c88ac,8f77f49a5197f10518d4d86e5809f5cae53906f54612beb245df0dd080ecd3a3,['1A2u94CXMw5ouohBGq3ue72dbtvko6xK3f'],pay-to-pubkey-hash
2993482,76a914051ac339b966ed2ce6e042a6b4515376a7db0b8888ac,6d6c32d0f4a6c72fa57e4d145c4d0afb135bb4d7ba583f44f8e04aff7f704c1a,['1TzSTWuzWbLeFoYoHrkjBoV31kbXaNyKJ'],pay-to-pubkey-hash
2160725,76a914f2cf18e2cf7c9df736c555b7044cd28bc5b1272e88ac,304b5e25b0d028bb5f653fe8ad5aaca91536a9d50ed8c91f950bb8aa8dff928f,['1P8rcnnf5tVD4fhFzw7DfxyqfnLoEZ1xXF'],pay-to-pubkey-hash
5097147,76a9148554e49f67a7384268d045fc27cfcb5c276d7adf88ac,d344b1e7e2ce44c2c758f9e8a074e5162b42461823c949b5bc2b1e7eaf948aca,['1D9zZzDWJTW48cDUTiAZQp4VXDKeMScwF4'],pay-to-pubkey-hash
6148812,76a9147ffaaf4a2c8447d2126bc737a19fb35a226eb1a388ac,7afbc801a8a3269ed58199e475f66ef1cf9260abd186df347cfa908c84cbee47,['1Cfh8F4wZGSx85ibAgTkQSE9LAVKi5vfYr'],pay-to-pubkey-hash
1382980,76a9146e3d5821a90f65c38c2e19259bef4c7fdc0422eb88ac,,['1B3tpNnCXAbde87M2EAMbu5c1TGPEFth1N'],pay-to-pubkey-hash
1368381,76a91434b8c7d4a85a130d60bc3b6d01797c9d3ed37ce988ac,0b863c6113d219540d89255ddab742da56f988bffcc23e35001d9cd355c4ba86,['15omVkphprVu6bBMbtMuKkZK1Z5xja1kB3'],pay-to-pubkey-hash
1368269,76a91481538e063c8129f412e5a868d69d0b8999c66f8988ac,b887a8e6442449b9df18cc3ff82b352c182ca0e07105127eafb80f25be6e9e85,['1CnpGEarJ63h34iJPD5aSou6Piwm4mCZF6'],pay-to-pubkey-hash
5203670,76a9140b4c720b15eacb5d798abdc98aeb91dac54698ee88ac,551920de4e0368a06be964534a908537d341d5bd818ff09d60c51203b01c59c2,['122k1drD17U18b89thzDT6cZg6uYcwjAnh'],pay-to-pubkey-hash
1404181,76a91417c4537cb56a58a453f1297eceabba9e24998fe488ac,d48488fada2ed7dab4315999bf83b85766c2f118b2b59cffcdd19530b1672fe9,['13AfjPdYjLbgTmsmbNppoi5zxaPGMVNgJN'],pay-to-pubkey-hash
6742312,76a91451dda706f0926c0d74ec0c06086ffaf5abf86e8d88ac,83d9a7871f192927965701c0d8db2c220e925c6015b771b4875a35b7ca39b62a,['18TsGDncr7PHsjMbdEeWf8FfdcryJWuuyh'],pay-to-pubkey-hash
